Location,Gross domestic product (GDP) Total (2011 PPP $ billions) 2013,Gross domestic product (GDP) Per capita (2011 PPP $) 2013,Gross fixed capital formation (% of GDP) 2005Ð2013, General government final consumption expenditure Total (% of GDP) 2005Ð2013, General government final consumption expenditure Average annual growth (%) 2005Ð2013,Total tax revenue (% of GDP) 2005Ð2013,"Taxes on income, profit and capital gain (% of total tax revenue) 2005Ð2013",Research and development expenditure  (% of GDP) 2005Ð2012,Domestic credit provided by financial sector (% of GDP) 2013,External debt stock (% of GNI) 2005Ð2013,Total debt service (% of GNI) 2013,Consumer price index (2010=100) 2013,Domestic food price level Index 2009Ð2014,Domestic food price level Volatility index 2009Ð2014
Paraguay,53.3,"7,833",15.1,12.1,5.3,12.8,11.6,0.1,38.3,47.2,6.8,115,4.3,11.2
Ukraine,387.0,"8,508",18.2,19.4,2.2,18.2,11.8,0.7,95.7,81.6,20.9,108,5.2,3.9
Congo (Democratic Republic of the),52.9,783,20.6,12.4,14.2,8.4,11.9,0.1,7.3,21.9,1.1,129,,
Antigua and Barbuda,1.8,"20,353",23.2,18.5,,18.6,12.0,,90.0,,,108,2.6,
Sao Tome and Principe,0.6,"2,876",41.7,13.5,,14.0,12.8,,28.8,69.6,1.9,132,9.1,50.5
Poland,881.5,"22,877",18.8,18.1,2.1,16.0,13.4,0.9,65.8,,,109,2.7,7.0
Azerbaijan,156.3,"16,594",24.6,11.2,2.2,13.0,13.6,0.2,25.5,13.3,3.6,112,,
Jordan,73.7,"11,407",27.2,19.7,-11.4,15.3,13.6,0.4,111.9,71.9,3.0,115,4.5,6.1
Cambodia,44.6,"2,944",18.1,5.2,21.3,11.6,13.8,,40.3,44.4,1.1,112,7.8,4.7
Czech Republic,294.2,"27,959",24.9,19.6,2.3,13.4,14.5,1.9,67.0,,,107,2.3,10.7
San Marino,,,,,,22.3,14.6,,,,,107,,
Bulgaria,114.0,"15,695",21.3,16.5,2.8,19.0,14.6,0.6,71.1,104.9,9.5,108,3.2,5.9
Finland,211.3,"38,846",21.2,24.9,1.5,20.0,14.8,3.5,104.9,,,108,1.6,6.2
Costa Rica,65.4,"13,431",21.0,17.9,3.9,13.6,15.1,0.5,56.5,35.9,6.2,115,3.2,7.6
Bhutan,5.4,"7,167",47.3,17.5,-6.6,9.2,15.9,,50.2,83.6,4.5,129,5.1,6.4
Hungary,226.8,"22,914",19.9,19.9,3.2,22.9,15.9,1.3,64.7,170.8,99.0,112,2.4,5.8
Ethiopia,125.7,"1,336",35.8,8.3,,9.2,16.0,0.2,36.9,26.8,1.4,177,6.3,9.0
Dominica,0.7,"10,011",12.0,19.1,,21.8,16.2,,61.9,59.4,3.7,104,,
Sri Lanka,193.1,"9,426",29.2,13.1,5.5,12.0,16.2,0.2,48.4,38.5,2.8,123,6.9,8.3
Germany,"3,483.4","43,207",19.8,19.3,0.7,11.5,16.3,2.9,113.5,,,106,1.5,5.6
Benin,17.9,"1,733",26.3,11.2,4.2,15.6,16.8,,21.5,28.7,1.4,111,8.1,21.8
Grenada,1.2,"11,272",20.1,16.8,,18.7,16.9,,80.0,72.6,4.4,105,3.4,
Lesotho,5.2,"2,494",36.7,37.7,12.3,58.7,17.4,0.0,1.7,30.9,1.4,117,4.4,6.4
Turkey,"1,398.3","18,660",20.3,15.1,6.2,20.4,17.6,0.9,84.3,47.9,7.6,125,3.8,12.9
Lao People's Democratic Republic,31.6,"4,667",29.2,14.5,33.9,14.8,17.6,,26.5,81.4,2.9,119,8.6,3.6
Mauritius,21.6,"16,648",21.2,14.4,0.7,19.0,17.9,0.4,122.4,91.4,28.4,115,4.9,11.7
Gambia,3.0,"1,608",20.7,7.5,3.0,15.1,18.0,0.1,50.1,59.0,3.1,115,7.3,2.7
Uruguay,64.6,"18,966",22.9,13.8,4.2,19.3,18.4,0.4,36.3,,,127,3.1,6.4
Romania,363.3,"18,200",23.5,6.2,2.3,18.8,18.4,0.5,52.0,72.9,16.6,114,3.7,4.3
Nepal,60.4,"2,173",22.6,9.9,-6.9,15.3,18.7,0.3,69.1,19.7,1.1,130,9.5,10.2
Lebanon,74.3,"16,623",27.9,14.7,23.2,15.5,19.0,,187.6,68.9,7.8,112,,
Greece,270.7,"24,540",11.2,20.0,-6.5,22.4,19.0,0.7,134.3,,,104,2.6,11.2
Kyrgyzstan,17.8,"3,110",30.5,18.1,0.2,18.1,19.1,0.2,14.0,98.4,5.6,128,,
Iran (Islamic Republic of),"1,168.7","15,090",25.8,11.2,-4.3,8.4,19.3,0.7,18.0,2.1,0.1,214,4.5,13.0
Colombia,581.1,"12,025",24.5,16.7,5.8,13.2,19.7,0.2,70.1,25.3,2.8,109,2.7,4.5
Burkina Faso,26.8,"1,582",17.6,18.2,8.4,16.3,20.1,0.2,25.4,23.2,0.7,107,8.4,11.8
Spain,"1,473.9","31,596",18.5,19.5,-2.9,7.1,20.1,1.3,205.1,,,107,2.0,8.4
Samoa,1.1,"5,584",,,,0.0,20.3,,40.8,67.2,1.9,108,,
Dominican Republic,122.7,"11,795",21.5,10.1,-6.4,12.2,20.5,,47.8,41.2,4.9,118,4.1,5.2
Madagascar,31.4,"1,369",15.7,8.6,-14.3,10.1,21.2,0.1,15.6,27.3,0.7,123,7.1,3.5
Armenia,22.4,"7,527",20.9,14.5,16.3,18.7,21.3,0.3,46.0,79.4,18.5,117,8.9,11.9
C™te d'Ivoire,63.1,"3,107",17.0,8.4,8.7,14.2,21.4,,26.9,37.9,4.2,109,6.7,8.8
Venezuela (Bolivarian Republic of),535.6,"17,615",20.3,12.2,3.3,15.5,21.5,,52.5,27.5,4.6,215,4.5,12.8
Honduras,36.0,"4,445",24.5,16.6,4.1,14.7,21.6,,57.3,39.6,5.4,118,4.8,4.8
Tanzania (United Republic of),82.2,"1,718",32.1,19.0,36.2,16.1,21.9,0.5,24.3,39.7,0.5,141,11.5,4.8
Mali,24.3,"1,589",16.3,11.3,-4.2,15.8,21.9,0.7,20.9,33.3,0.9,108,7.7,9.4
Portugal,267.7,"25,596",15.1,19.0,-1.9,20.3,22.2,1.5,183.3,,,107,2.5,9.0
Bangladesh,446.8,"2,853",28.4,5.1,5.8,8.7,22.4,,57.9,19.5,1.0,126,8.0,4.5
Switzerland,442.0,"54,697",23.4,11.0,1.4,9.8,22.7,2.9,173.4,,,99,1.4,6.6
High human development,"33,466.1","13,549",33.8,15.5,4.1,13.3,22.9,1.4,114.6,21.8,2.5,,,
El Salvador,47.6,"7,515",15.1,12.0,6.0,14.5,23.0,0.0,72.1,57.1,4.7,108,4.3,3.0
Senegal,30.7,"2,170",25.1,15.5,-1.1,19.2,23.1,0.5,35.1,34.9,2.7,106,8.4,8.7
Cabo Verde,3.1,"6,210",35.9,18.5,,17.8,23.3,0.1,82.8,80.9,2.2,109,5.7,5.4
Netherlands,755.3,"44,945",18.2,26.3,-0.3,19.7,23.5,2.2,193.0,,,107,1.4,5.6
Austria,376.0,"44,376",22.2,19.8,0.7,18.3,23.7,2.8,127.9,,,108,1.4,5.9
Botswana,30.8,"15,247",33.9,19.7,4.3,27.1,23.9,0.5,13.6,16.6,1.3,123,2.9,3.6
Saint Vincent and the Grenadines,1.1,"10,154",24.9,18.5,,23.0,24.5,,58.4,40.6,4.0,107,3.4,4.8
France,"2,453.3","37,154",22.1,24.1,2.0,21.4,24.6,2.3,130.8,,,105,1.7,4.8
Ghana,100.1,"3,864",22.7,16.6,-7.9,14.9,24.7,0.4,34.8,33.8,2.0,132,5.4,18.3
China,"15,643.2","11,525",47.3,14.1,8.2,10.6,24.9,2.0,163.0,9.5,0.4,111,3.3,8.1
Myanmar,,,,,,,25.2,,24.6,,,112,8.5,8.1
Low human development,"3,205.5","2,904",17.3,11.4,5.3,8.7,25.5,,28.7,20.2,1.8,,,
Rwanda,16.8,"1,426",25.5,14.2,1.0,13.4,25.7,,8.0,23.0,0.6,117,8.6,10.5
Latin America and the Caribbean,"7,911.4","13,877",20.0,16.7,2.7,15.6,26.0,,74.1,27.4,3.5,,,
Egypt,880.8,"10,733",13.8,11.7,3.4,13.2,26.2,0.4,86.2,16.7,1.3,129,7.5,9.8
Morocco,233.9,"6,967",30.2,19.0,3.7,24.5,26.2,0.7,115.5,38.7,5.0,104,5.7,4.9
Cyprus,23.8,"27,394",18.4,19.7,0.5,25.5,26.5,0.5,335.8,,,105,2.0,12.7
Brazil,"2,916.3","14,555",18.2,22.0,2.0,15.4,26.5,1.2,110.1,21.9,3.8,119,2.6,4.4
Tunisia,117.2,"10,768",20.2,19.0,2.8,21.0,26.7,1.1,83.4,55.5,5.9,116,3.9,4.7
Saint Lucia,1.9,"10,152",23.3,14.8,,23.0,27.1,,123.1,37.2,2.9,109,3.4,12.3
Iceland,13.3,"41,250",15.1,24.3,0.8,22.3,27.4,2.6,130.9,,,114,1.8,5.4
Liberia,3.6,850,25.4,15.5,6.2,20.9,27.7,,38.7,30.9,0.3,125,,
Pakistan,811.3,"4,454",13.0,11.0,10.2,11.1,27.9,0.3,49.0,22.8,3.3,132,7.1,13.2
Seychelles,2.1,"23,799",33.6,25.6,6.9,31.2,27.9,0.3,35.2,222.4,4.5,115,6.7,7.2
Israel,249.3,"30,927",19.5,22.5,3.5,22.1,27.9,3.9,81.4,,,107,2.2,5.9
Nigeria,941.5,"5,423",14.5,8.1,1.4,1.6,28.3,0.2,22.3,2.8,0.1,135,6.3,4.0
East Asia and the Pacific,"20,776.2","10,779",43.8,13.5,,11.1,28.4,,149.6,15.0,1.2,,,
Belize,2.7,"8,215",17.8,15.1,0.7,22.6,28.7,,58.3,80.5,9.0,98,3.0,27.9
Guatemala,109.2,"7,063",14.3,10.5,4.8,10.8,29.4,0.0,40.6,32.0,2.4,115,7.1,5.5
Developing countries,"49,538.3","8,696",31.3,14.4,6.1,12.5,29.5,1.1,101.3,22.2,2.4,,,
Mozambique,27.6,"1,070",17.4,20.4,16.5,20.8,29.5,0.5,29.3,45.0,0.9,117,8.6,6.7
Nicaragua,27.3,"4,494",22.9,5.7,1.8,14.8,30.0,,44.8,87.7,5.8,124,4.5,6.4
Luxembourg,47.7,"87,737",17.1,17.3,5.0,25.5,30.0,1.4,163.9,,,108,1.3,8.9
Syrian Arab Republic,,,20.4,12.3,23.6,14.2,30.2,,36.2,14.3,1.7,143,,
Korea (Republic of),"1,642.6","32,708",29.7,14.9,2.7,14.4,30.3,4.0,155.9,,,108,1.9,9.1
Chile,382.6,"21,714",23.6,12.4,4.2,19.0,30.4,0.4,115.5,,,108,2.6,7.4
Uganda,51.4,"1,368",23.8,8.3,7.5,13.0,30.6,0.6,16.3,21.0,0.4,143,5.2,21.8
Sierra Leone,9.1,"1,495",16.6,10.4,6.5,11.7,31.0,,14.5,31.1,0.6,145,6.8,3.3
Barbados,4.3,"15,299",18.4,16.1,,25.2,31.6,,106.7,,,116,2.4,5.4
Norway,317.5,"62,448",22.6,21.9,1.8,27.3,31.8,1.7,87.0,,,104,1.5,11.3
United Kingdom,"2,372.7","37,017",16.4,20.2,0.7,25.3,31.8,1.7,184.1,,,110,1.2,5.0
Suriname,8.4,"15,556",24.9,23.3,,19.4,31.9,,31.5,,,126,6.2,9.7
Angola,160.8,"7,488",14.7,19.9,-2.7,18.8,31.9,,18.9,22.0,4.3,136,7.2,13.7
Fiji,6.6,"7,502",21.1,15.0,,23.2,32.5,,121.8,20.7,1.2,116,5.1,8.3
Namibia,21.4,"9,276",25.7,27.6,8.9,23.1,32.6,0.1,49.7,,,118,3.5,7.2
Italy,"2,044.3","34,167",17.8,19.4,-0.7,22.4,32.8,1.3,161.8,,,107,2.0,5.0
Jamaica,23.4,"8,607",19.7,16.3,0.3,27.1,33.0,,51.4,100.6,8.8,126,5.0,7.0
Malta,12.2,"28,828",14.3,20.2,0.9,27.0,33.1,0.8,146.7,,,107,2.6,8.6
World,"97,140.4","13,964",24.3,17.0,3.6,13.9,33.7,2.0,164.0,23.6,2.9,,,
Peru,346.2,"11,396",26.6,11.2,6.7,16.5,34.0,,22.0,29.0,3.6,110,3.9,3.4
Singapore,411.6,"76,237",25.9,10.2,9.9,14.0,34.7,2.1,112.6,,,113,1.0,4.0
Belgium,454.6,"40,607",22.3,24.4,1.1,24.9,35.2,2.2,111.2,,,108,1.7,6.0
Georgia,31.1,"6,946",21.9,16.7,,24.1,35.2,0.2,42.9,86.4,11.2,107,,
Equatorial Guinea,24.7,"32,685",58.4,6.7,9.8,20.5,35.7,,-3.5,,,121,,
"Hong Kong, China (SAR)",370.2,"51,509",23.9,9.3,2.3,12.5,36.2,0.7,224.0,,,114,,
Thailand,933.6,"13,932",26.7,13.8,4.9,16.5,36.2,0.3,173.3,37.2,3.6,109,4.5,2.8
New Zealand,146.7,"32,808",20.6,18.7,1.9,29.3,36.3,1.3,154.0,,,107,2.0,
Organisation for Economic Co-operation and Development,"46,521.4","36,923",20.5,18.2,1.1,14.6,36.4,2.5,199.1,,,,,
Very high human development,"46,814.6","41,395",20.5,18.2,3.0,14.3,36.8,2.4,196.7,,,,,
Indonesia,"2,312.4","9,254",31.7,9.1,4.9,11.4,36.8,0.1,45.6,30.8,4.8,117,6.7,10.7
Ireland,206.5,"44,931",15.2,17.5,0.0,22.0,37.8,1.7,186.1,,,105,1.2,3.3
South Asia,"9,305.8","5,324",26.6,11.3,-0.1,10.3,38.4,0.7,64.3,20.3,2.0,,,
Denmark,235.7,"41,991",18.3,26.7,-0.5,33.4,39.7,3.0,199.6,,,106,1.3,6.0
Medium human development,"13,654.0","6,106",25.9,12.5,6.5,13.1,40.0,0.5,73.0,27.2,2.7,,,
Qatar,276.6,"127,562",,12.9,10.1,14.7,40.2,,73.9,,,107,1.8,6.3
Kenya,120.0,"2,705",20.4,14.0,1.1,15.9,40.9,1.0,42.8,30.8,1.1,132,5.8,6.0
Arab States,"5,508.7","16,697",22.2,16.2,11.8,12.2,41.3,,37.8,25.5,1.9,,,
Philippines,622.5,"6,326",20.5,11.1,7.7,12.9,42.1,0.1,51.9,18.6,1.8,111,6.8,2.6
Sub-Saharan Africa,"2,977.6","3,339",19.5,14.2,6.1,13.5,42.8,0.4,62.7,23.7,1.8,,,
India,"6,558.7","5,238",28.3,11.8,3.8,10.7,44.8,0.8,77.1,23.0,2.2,132,4.7,8.4
Japan,"4,535.1","35,614",21.7,20.6,1.9,10.1,46.0,3.4,366.5,,,100,1.9,5.6
Zambia,55.2,"3,800",25.9,2.8,,16.0,48.0,0.3,27.5,25.9,1.2,121,10.1,3.2
South Africa,641.4,"12,106",19.3,22.2,2.4,26.5,49.4,0.8,190.2,40.7,2.8,117,3.0,6.2
Trinidad and Tobago,39.5,"29,469",9.7,9.5,-0.6,28.3,49.6,0.0,33.7,,,121,4.0,16.5
Canada,"1,472.9","41,894",23.7,21.7,0.6,11.5,51.6,1.7,173.1,,,105,1.3,7.1
Malaysia,671.3,"22,589",26.9,13.6,6.3,16.1,52.0,1.1,142.6,70.7,3.2,107,2.9,4.3
United States,"16,230.2","51,340",19.3,15.2,-1.3,10.6,53.2,2.8,240.5,,,107,1.0,0.0
Algeria,505.5,"12,893",33.8,18.9,80.4,37.4,60.2,0.1,3.0,2.5,0.3,118,5.1,5.5
Australia,990.7,"42,831",28.3,17.7,0.0,21.4,65.3,2.4,158.8,,,108,1.4,
Burundi,7.6,747,28.7,22.1,2.0,,,0.1,23.9,23.5,1.2,140,7.0,8.3
Malawi,12.4,755,19.7,22.1,11.6,,,,31.2,43.6,1.2,166,7.6,23.6
Eritrea,7.3,"1,157",10.0,21.1,-9.5,,,,104.0,27.7,2.6,,,
Guinea,14.2,"1,213",15.0,9.7,5.8,,,,32.2,20.8,1.1,156,9.9,7.3
Guinea-Bissau,2.3,"1,362",,,,,,,18.6,32.3,0.2,108,,
Comoros,1.0,"1,400",17.8,16.2,2.2,,,,26.9,22.3,0.1,106,,
Haiti,17.0,"1,648",,9.1,,,,,20.4,14.9,0.1,122,9.7,3.4
Zimbabwe,25.1,"1,773",13.0,20.0,2.7,,,,75.5,69.5,21.2,109,,
South Sudan,22.2,"1,965",11.9,23.0,10.9,,,,,,,149,,
Solomon Islands,1.1,"2,003",13.4,39.2,,,,,20.3,21.2,4.6,120,,
Chad,25.9,"2,022",27.4,7.6,10.3,,,,7.0,17.2,0.8,110,8.0,11.7
Timor-Leste,2.3,"2,040",55.7,85.7,3.6,,,,-53.6,,,141,,
Least developed countries,"1,770.8","2,122",23.8,11.9,7.5,,,,30.4,28.1,1.3,,,
Tajikistan,20.0,"2,432",14.1,11.7,1.1,,,0.1,19.0,41.8,5.0,125,,
Papua New Guinea,18.0,"2,458",,,,,,,49.2,148.4,30.3,115,,
Cameroon,61.0,"2,739",19.4,11.6,6.5,,,,15.5,17.1,0.7,108,7.8,10.0
Vanuatu,0.7,"2,895",25.2,16.3,2.2,16.0,,,68.7,16.7,1.0,104,,
Djibouti,2.5,"2,903",37.5,25.1,8.0,,,,33.9,62.5,2.3,112,,
Mauritania,11.5,"2,945",38.0,17.0,2.8,,,,39.1,91.7,4.2,115,10.1,3.1
Sudan,123.9,"3,265",20.0,7.5,20.9,,,,24.0,47.9,0.5,218,,
Micronesia (Federated States of),0.3,"3,286",,,,,,,-27.2,,,,,
Tuvalu,0.0,"3,528",,,,,,,,,,,,
Marshall Islands,0.2,"3,776",,,,,,,,,,,,
Yemen,93.5,"3,832",16.4,13.8,,,,,33.9,22.1,0.8,146,7.6,11.0
Uzbekistan,151.3,"5,002",23.2,22.4,,,,,,18.1,1.2,,,
Viet Nam,459.7,"5,125",23.8,6.2,7.3,,,,108.2,40.2,3.1,138,,
Tonga,0.5,"5,134",33.1,18.9,,,,,27.1,41.6,1.4,108,,
Guyana,5.1,"6,336",24.9,14.2,,,,,53.7,74.9,2.6,109,,
Swaziland,8.1,"6,471",9.6,19.9,5.5,,,,18.4,13.1,0.9,122,,
Small island developing states,513.1,"9,391",18.0,20.7,,,,,54.7,65.9,8.7,,,
Albania,28.9,"10,405",26.2,10.7,0.1,,,0.2,66.9,60.1,3.2,108,6.4,10.3
Ecuador,165.9,"10,541",27.9,14.1,7.7,,,0.2,29.6,22.9,3.4,113,3.4,5.7
Europe and Central Asia,"3,005.8","12,929",22.0,15.0,1.8,19.3,,0.7,70.5,54.5,9.8,,,
Turkmenistan,71.0,"13,555",47.2,8.9,,,,,,1.3,0.1,,,
Montenegro,8.8,"14,152",19.2,19.8,1.4,,,0.4,61.0,65.5,8.1,109,5.6,9.1
Iraq,483.6,"14,471",16.7,21.3,,,,0.0,-1.4,,,114,5.1,16.4
Palau,0.3,"14,612",,,,,,,,,,,,
Mexico,"1,992.9","16,291",21.0,11.9,1.1,,,0.4,49.5,35.9,3.4,112,3.7,4.7
Gabon,31.2,"18,646",33.3,8.9,18.2,,,0.6,11.7,25.0,6.5,104,5.2,21.0
Panama,72.6,"18,793",26.5,10.0,-1.7,,,0.2,67.6,38.9,3.9,116,3.0,2.1
Cuba,211.9,"18,796",12.2,37.9,2.7,,,0.4,,,,,,
Libya,126.3,"20,371",27.9,9.3,,,,,-51.1,,,126,,
Kazakhstan,382.8,"22,467",21.2,10.3,1.7,,,0.2,39.1,74.6,15.0,121,,
Bahamas,8.5,"22,518",26.3,16.1,3.7,15.5,,,104.9,,,106,1.6,5.4
Saudi Arabia,"1,501.1","52,068",23.2,22.1,9.2,,,0.1,-7.9,,,113,2.9,3.8
United Arab Emirates,525.1,"57,045",22.0,6.8,4.2,0.4,,0.5,76.5,,,103,,
Brunei Darussalam,29.0,"69,474",15.3,18.3,1.1,,,,20.8,,,103,3.0,4.7
Argentina,,,17.0,15.5,5.1,,,0.6,33.3,22.7,2.3,,,
Korea (Democratic People's Rep. of),,,,,,,,,,,,,,
Monaco,,,,,,,,0.0,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,

,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,














